slug,title,created_at,question_id,python_path,cpp_path_mirror,cpp_path_global
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,Maximize Subarray Sum After Removing All Occurrences of One Element,2025-01-04,3688,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3410__maximize-subarray-sum-after-removing-all-occurrences-of-one-element/python/maximize-subarray-sum-after-removing-all-occurrences-of-one-element.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3410__maximize-subarray-sum-after-removing-all-occurrences-of-one-element/cpp_gpt/maximize-subarray-sum-after-removing-all-occurrences-of-one-element.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/maximize-subarray-sum-after-removing-all-occurrences-of-one-element.cpp
count-non-decreasing-subarrays-after-k-operations,Count Non-Decreasing Subarrays After K Operations,2025-01-12,3674,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3420__count-non-decreasing-subarrays-after-k-operations/python/count-non-decreasing-subarrays-after-k-operations.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3420__count-non-decreasing-subarrays-after-k-operations/cpp_gpt/count-non-decreasing-subarrays-after-k-operations.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-non-decreasing-subarrays-after-k-operations/count-non-decreasing-subarrays-after-k-operations.cpp
longest-special-path,Longest Special Path,2025-01-18,3687,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3425__longest-special-path/python/longest-special-path.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3425__longest-special-path/cpp_gpt/longest-special-path.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/longest-special-path/longest-special-path.cpp
manhattan-distances-of-all-arrangements-of-pieces,Manhattan Distances of All Arrangements of Pieces,2025-01-18,3739,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3426__manhattan-distances-of-all-arrangements-of-pieces/python/manhattan-distances-of-all-arrangements-of-pieces.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3426__manhattan-distances-of-all-arrangements-of-pieces/cpp_gpt/manhattan-distances-of-all-arrangements-of-pieces.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/manhattan-distances-of-all-arrangements-of-pieces/manhattan-distances-of-all-arrangements-of-pieces.cpp
frequencies-of-shortest-supersequences,Frequencies of Shortest Supersequences,2025-01-26,3713,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3435__frequencies-of-shortest-supersequences/python/frequencies-of-shortest-supersequences.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3435__frequencies-of-shortest-supersequences/cpp_gpt/frequencies-of-shortest-supersequences.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/frequencies-of-shortest-supersequences/frequencies-of-shortest-supersequences.cpp
minimum-cost-good-caption,Minimum Cost Good Caption,2025-02-01,3701,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3441__minimum-cost-good-caption/python/minimum-cost-good-caption.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3441__minimum-cost-good-caption/cpp_gpt/minimum-cost-good-caption.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-cost-good-caption/minimum-cost-good-caption.cpp
minimum-increments-for-target-multiples-in-an-array,Minimum Increments for Target Multiples in an Array,2025-02-02,3697,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3444__minimum-increments-for-target-multiples-in-an-array/python/minimum-increments-for-target-multiples-in-an-array.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3444__minimum-increments-for-target-multiples-in-an-array/cpp_gpt/minimum-increments-for-target-multiples-in-an-array.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-increments-for-target-multiples-in-an-array/minimum-increments-for-target-multiples-in-an-array.cpp
maximum-difference-between-even-and-odd-frequency-ii,Maximum Difference Between Even and Odd Frequency II,2025-02-02,3761,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3445__maximum-difference-between-even-and-odd-frequency-ii/python/maximum-difference-between-even-and-odd-frequency-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3445__maximum-difference-between-even-and-odd-frequency-ii/cpp_gpt/maximum-difference-between-even-and-odd-frequency-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-difference-between-even-and-odd-frequency-ii/maximum-difference-between-even-and-odd-frequency-ii.cpp
count-substrings-divisible-by-last-digit,Count Substrings Divisible By Last Digit,2025-02-09,3696,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3448__count-substrings-divisible-by-last-digit/python/count-substrings-divisible-by-last-digit.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3448__count-substrings-divisible-by-last-digit/cpp_gpt/count-substrings-divisible-by-last-digit.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-substrings-divisible-by-last-digit/count-substrings-divisible-by-last-digit.cpp
separate-squares-ii,Separate Squares II,2025-02-15,3775,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3454__separate-squares-ii/python/separate-squares-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3454__separate-squares-ii/cpp_gpt/separate-squares-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/separate-squares-ii/separate-squares-ii.cpp
length-of-longest-v-shaped-diagonal-segment,Length of Longest V-Shaped Diagonal Segment,2025-02-16,3733,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3459__length-of-longest-v-shaped-diagonal-segment/python/length-of-longest-v-shaped-diagonal-segment.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3459__length-of-longest-v-shaped-diagonal-segment/cpp_gpt/length-of-longest-v-shaped-diagonal-segment.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/length-of-longest-v-shaped-diagonal-segment/length-of-longest-v-shaped-diagonal-segment.cpp
check-if-digits-are-equal-in-string-after-operations-ii,Check If Digits Are Equal in String After Operations II,2025-02-23,3774,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3463__check-if-digits-are-equal-in-string-after-operations-ii/python/check-if-digits-are-equal-in-string-after-operations-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3463__check-if-digits-are-equal-in-string-after-operations-ii/cpp_gpt/check-if-digits-are-equal-in-string-after-operations-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/check-if-digits-are-equal-in-string-after-operations-ii/check-if-digits-are-equal-in-string-after-operations-ii.cpp
maximize-the-distance-between-points-on-a-square,Maximize the Distance Between Points on a Square,2025-02-23,3781,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3464__maximize-the-distance-between-points-on-a-square/python/maximize-the-distance-between-points-on-a-square.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3464__maximize-the-distance-between-points-on-a-square/cpp_gpt/maximize-the-distance-between-points-on-a-square.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-the-distance-between-points-on-a-square/maximize-the-distance-between-points-on-a-square.cpp
permutations-iv,Permutations IV,2025-03-01,3783,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3470__permutations-iv/python/permutations-iv.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3470__permutations-iv/cpp_gpt/permutations-iv.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/permutations-iv/permutations-iv.cpp
lexicographically-smallest-generated-string,Lexicographically Smallest Generated String,2025-03-02,3770,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3474__lexicographically-smallest-generated-string/python/lexicographically-smallest-generated-string.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3474__lexicographically-smallest-generated-string/cpp_gpt/lexicographically-smallest-generated-string.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/lexicographically-smallest-generated-string/lexicographically-smallest-generated-string.cpp
maximize-subarrays-after-removing-one-conflicting-pair,Maximize Subarrays After Removing One Conflicting Pair,2025-03-09,3789,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3480__maximize-subarrays-after-removing-one-conflicting-pair/python/maximize-subarrays-after-removing-one-conflicting-pair.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3480__maximize-subarrays-after-removing-one-conflicting-pair/cpp_gpt/maximize-subarrays-after-removing-one-conflicting-pair.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-subarrays-after-removing-one-conflicting-pair/maximize-subarrays-after-removing-one-conflicting-pair.cpp
longest-common-prefix-of-k-strings-after-removal,Longest Common Prefix of K Strings After Removal,2025-03-15,3784,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3485__longest-common-prefix-of-k-strings-after-removal/python/longest-common-prefix-of-k-strings-after-removal.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3485__longest-common-prefix-of-k-strings-after-removal/cpp_gpt/longest-common-prefix-of-k-strings-after-removal.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/longest-common-prefix-of-k-strings-after-removal/longest-common-prefix-of-k-strings-after-removal.cpp
longest-special-path-ii,Longest Special Path II,2025-03-15,3798,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3486__longest-special-path-ii/python/longest-special-path-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3486__longest-special-path-ii/cpp_gpt/longest-special-path-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/longest-special-path-ii/longest-special-path-ii.cpp
count-beautiful-numbers,Count Beautiful Numbers,2025-03-16,3801,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3490__count-beautiful-numbers/python/count-beautiful-numbers.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3490__count-beautiful-numbers/cpp_gpt/count-beautiful-numbers.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-beautiful-numbers/count-beautiful-numbers.cpp
minimum-operations-to-make-array-elements-zero,Minimum Operations to Make Array Elements Zero,2025-03-23,3744,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3495__minimum-operations-to-make-array-elements-zero/python/minimum-operations-to-make-array-elements-zero.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3495__minimum-operations-to-make-array-elements-zero/cpp_gpt/minimum-operations-to-make-array-elements-zero.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-operations-to-make-array-elements-zero/minimum-operations-to-make-array-elements-zero.cpp
minimum-cost-to-divide-array-into-subarrays,Minimum Cost to Divide Array Into Subarrays,2025-03-29,3765,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3500__minimum-cost-to-divide-array-into-subarrays/python/minimum-cost-to-divide-array-into-subarrays.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3500__minimum-cost-to-divide-array-into-subarrays/cpp_gpt/minimum-cost-to-divide-array-into-subarrays.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-cost-to-divide-array-into-subarrays/minimum-cost-to-divide-array-into-subarrays.cpp
maximize-active-section-with-trade-ii,Maximize Active Section with Trade II,2025-03-29,3804,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3501__maximize-active-section-with-trade-ii/python/maximize-active-section-with-trade-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3501__maximize-active-section-with-trade-ii/cpp_gpt/maximize-active-section-with-trade-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-active-section-with-trade-ii/maximize-active-section-with-trade-ii.cpp
longest-palindrome-after-substring-concatenation-ii,Longest Palindrome After Substring Concatenation II,2025-03-30,3808,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3504__longest-palindrome-after-substring-concatenation-ii/python/longest-palindrome-after-substring-concatenation-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3504__longest-palindrome-after-substring-concatenation-ii/cpp_gpt/longest-palindrome-after-substring-concatenation-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/longest-palindrome-after-substring-concatenation-ii/longest-palindrome-after-substring-concatenation-ii.cpp
minimum-operations-to-make-elements-within-k-subarrays-equal,Minimum Operations to Make Elements Within K Subarrays Equal,2025-03-30,3717,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3505__minimum-operations-to-make-elements-within-k-subarrays-equal/python/minimum-operations-to-make-elements-within-k-subarrays-equal.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3505__minimum-operations-to-make-elements-within-k-subarrays-equal/cpp_gpt/minimum-operations-to-make-elements-within-k-subarrays-equal.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-operations-to-make-elements-within-k-subarrays-equal/minimum-operations-to-make-elements-within-k-subarrays-equal.cpp
maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k,Maximum Product of Subsequences With an Alternating Sum Equal to K,2025-04-06,3777,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3509__maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/python/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3509__maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/cpp_gpt/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k.cpp
minimum-pair-removal-to-sort-array-ii,Minimum Pair Removal to Sort Array II,2025-04-06,3772,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3510__minimum-pair-removal-to-sort-array-ii/python/minimum-pair-removal-to-sort-array-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3510__minimum-pair-removal-to-sort-array-ii/cpp_gpt/minimum-pair-removal-to-sort-array-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-pair-removal-to-sort-array-ii/minimum-pair-removal-to-sort-array-ii.cpp
shortest-path-in-a-weighted-tree,Shortest Path in a Weighted Tree,2025-04-12,3829,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3515__shortest-path-in-a-weighted-tree/python/shortest-path-in-a-weighted-tree.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3515__shortest-path-in-a-weighted-tree/cpp_gpt/shortest-path-in-a-weighted-tree.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/shortest-path-in-a-weighted-tree/shortest-path-in-a-weighted-tree.cpp
smallest-palindromic-rearrangement-ii,Smallest Palindromic Rearrangement II,2025-04-13,3813,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3518__smallest-palindromic-rearrangement-ii/python/smallest-palindromic-rearrangement-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3518__smallest-palindromic-rearrangement-ii/cpp_gpt/smallest-palindromic-rearrangement-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/smallest-palindromic-rearrangement-ii/smallest-palindromic-rearrangement-ii.cpp
count-numbers-with-non-decreasing-digits,Count Numbers with Non-Decreasing Digits,2025-04-13,3810,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3519__count-numbers-with-non-decreasing-digits/python/count-numbers-with-non-decreasing-digits.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3519__count-numbers-with-non-decreasing-digits/cpp_gpt/count-numbers-with-non-decreasing-digits.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-numbers-with-non-decreasing-digits/count-numbers-with-non-decreasing-digits.cpp
find-x-value-of-array-ii,Find X Value of Array II,2025-04-20,3840,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3525__find-x-value-of-array-ii/python/find-x-value-of-array-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3525__find-x-value-of-array-ii/cpp_gpt/find-x-value-of-array-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-x-value-of-array-ii/find-x-value-of-array-ii.cpp
maximum-profit-from-valid-topological-order-in-dag,Maximum Profit from Valid Topological Order in DAG,2025-04-26,3826,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3530__maximum-profit-from-valid-topological-order-in-dag/python/maximum-profit-from-valid-topological-order-in-dag.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3530__maximum-profit-from-valid-topological-order-in-dag/cpp_gpt/maximum-profit-from-valid-topological-order-in-dag.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-profit-from-valid-topological-order-in-dag/maximum-profit-from-valid-topological-order-in-dag.cpp
concatenated-divisibility,Concatenated Divisibility,2025-04-27,3841,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3533__concatenated-divisibility/python/concatenated-divisibility.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3533__concatenated-divisibility/cpp_gpt/concatenated-divisibility.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/concatenated-divisibility/concatenated-divisibility.cpp
path-existence-queries-in-a-graph-ii,Path Existence Queries in a Graph II,2025-04-27,3852,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3534__path-existence-queries-in-a-graph-ii/python/path-existence-queries-in-a-graph-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3534__path-existence-queries-in-a-graph-ii/cpp_gpt/path-existence-queries-in-a-graph-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/path-existence-queries-in-a-graph-ii/path-existence-queries-in-a-graph-ii.cpp
merge-operations-for-minimum-travel-time,Merge Operations for Minimum Travel Time,2025-05-04,3833,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3538__merge-operations-for-minimum-travel-time/python/merge-operations-for-minimum-travel-time.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3538__merge-operations-for-minimum-travel-time/cpp_gpt/merge-operations-for-minimum-travel-time.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/merge-operations-for-minimum-travel-time/merge-operations-for-minimum-travel-time.cpp
find-sum-of-array-product-of-magical-sequences,Find Sum of Array Product of Magical Sequences,2025-05-04,3851,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3539__find-sum-of-array-product-of-magical-sequences/python/find-sum-of-array-product-of-magical-sequences.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3539__find-sum-of-array-product-of-magical-sequences/cpp_gpt/find-sum-of-array-product-of-magical-sequences.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-sum-of-array-product-of-magical-sequences/find-sum-of-array-product-of-magical-sequences.cpp
subtree-inversion-sum,Subtree Inversion Sum,2025-05-10,3858,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3544__subtree-inversion-sum/python/subtree-inversion-sum.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3544__subtree-inversion-sum/cpp_gpt/subtree-inversion-sum.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/subtree-inversion-sum/subtree-inversion-sum.cpp
equal-sum-grid-partition-ii,Equal Sum Grid Partition II,2025-05-11,3850,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3548__equal-sum-grid-partition-ii/python/equal-sum-grid-partition-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3548__equal-sum-grid-partition-ii/cpp_gpt/equal-sum-grid-partition-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/equal-sum-grid-partition-ii/equal-sum-grid-partition-ii.cpp
minimum-weighted-subgraph-with-the-required-paths-ii,Minimum Weighted Subgraph With the Required Paths II,2025-05-18,3853,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3553__minimum-weighted-subgraph-with-the-required-paths-ii/python/minimum-weighted-subgraph-with-the-required-paths-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3553__minimum-weighted-subgraph-with-the-required-paths-ii/cpp_gpt/minimum-weighted-subgraph-with-the-required-paths-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-weighted-subgraph-with-the-required-paths-ii/minimum-weighted-subgraph-with-the-required-paths-ii.cpp
number-of-ways-to-assign-edge-weights-ii,Number of Ways to Assign Edge Weights II,2025-05-24,3842,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3559__number-of-ways-to-assign-edge-weights-ii/python/number-of-ways-to-assign-edge-weights-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3559__number-of-ways-to-assign-edge-weights-ii/cpp_gpt/number-of-ways-to-assign-edge-weights-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/number-of-ways-to-assign-edge-weights-ii/number-of-ways-to-assign-edge-weights-ii.cpp
maximum-profit-from-trading-stocks-with-discounts,Maximum Profit from Trading Stocks with Discounts,2025-05-25,3854,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3562__maximum-profit-from-trading-stocks-with-discounts/python/maximum-profit-from-trading-stocks-with-discounts.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3562__maximum-profit-from-trading-stocks-with-discounts/cpp_gpt/maximum-profit-from-trading-stocks-with-discounts.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-profit-from-trading-stocks-with-discounts/maximum-profit-from-trading-stocks-with-discounts.cpp
maximize-count-of-distinct-primes-after-split,Maximize Count of Distinct Primes After Split,2025-06-01,3878,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3569__maximize-count-of-distinct-primes-after-split/python/maximize-count-of-distinct-primes-after-split.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3569__maximize-count-of-distinct-primes-after-split/cpp_gpt/maximize-count-of-distinct-primes-after-split.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-count-of-distinct-primes-after-split/maximize-count-of-distinct-primes-after-split.cpp
maximize-subarray-gcd-score,Maximize Subarray GCD Score,2025-06-07,3888,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3574__maximize-subarray-gcd-score/python/maximize-subarray-gcd-score.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3574__maximize-subarray-gcd-score/cpp_gpt/maximize-subarray-gcd-score.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-subarray-gcd-score/maximize-subarray-gcd-score.cpp
maximum-good-subtree-score,Maximum Good Subtree Score,2025-06-07,3875,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3575__maximum-good-subtree-score/python/maximum-good-subtree-score.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3575__maximum-good-subtree-score/cpp_gpt/maximum-good-subtree-score.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-good-subtree-score/maximum-good-subtree-score.cpp
find-weighted-median-node-in-tree,Find Weighted Median Node in Tree,2025-06-15,3900,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3585__find-weighted-median-node-in-tree/python/find-weighted-median-node-in-tree.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3585__find-weighted-median-node-in-tree/cpp_gpt/find-weighted-median-node-in-tree.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-weighted-median-node-in-tree/find-weighted-median-node-in-tree.cpp
kth-smallest-path-xor-sum,Kth Smallest Path XOR Sum,2025-06-21,3906,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3590__kth-smallest-path-xor-sum/python/kth-smallest-path-xor-sum.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3590__kth-smallest-path-xor-sum/cpp_gpt/kth-smallest-path-xor-sum.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/kth-smallest-path-xor-sum/kth-smallest-path-xor-sum.cpp
minimum-time-to-transport-all-individuals,Minimum Time to Transport All Individuals,2025-06-22,3896,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3594__minimum-time-to-transport-all-individuals/python/minimum-time-to-transport-all-individuals.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3594__minimum-time-to-transport-all-individuals/cpp_gpt/minimum-time-to-transport-all-individuals.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-time-to-transport-all-individuals/minimum-time-to-transport-all-individuals.cpp
maximize-spanning-tree-stability-with-upgrades,Maximize Spanning Tree Stability with Upgrades,2025-06-29,3902,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3600__maximize-spanning-tree-stability-with-upgrades/python/maximize-spanning-tree-stability-with-upgrades.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3600__maximize-spanning-tree-stability-with-upgrades/cpp_gpt/maximize-spanning-tree-stability-with-upgrades.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-spanning-tree-stability-with-upgrades/maximize-spanning-tree-stability-with-upgrades.cpp
minimum-stability-factor-of-array,Minimum Stability Factor of Array,2025-07-05,3920,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3605__minimum-stability-factor-of-array/python/minimum-stability-factor-of-array.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3605__minimum-stability-factor-of-array/cpp_gpt/minimum-stability-factor-of-array.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-stability-factor-of-array/minimum-stability-factor-of-array.cpp
minimum-moves-to-reach-target-in-grid,Minimum Moves to Reach Target in Grid,2025-07-06,3922,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3609__minimum-moves-to-reach-target-in-grid/python/minimum-moves-to-reach-target-in-grid.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3609__minimum-moves-to-reach-target-in-grid/cpp_gpt/minimum-moves-to-reach-target-in-grid.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-moves-to-reach-target-in-grid/minimum-moves-to-reach-target-in-grid.cpp
process-string-with-special-operations-ii,Process String with Special Operations II,2025-07-13,3939,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3614__process-string-with-special-operations-ii/python/process-string-with-special-operations-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3614__process-string-with-special-operations-ii/cpp_gpt/process-string-with-special-operations-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/process-string-with-special-operations-ii/process-string-with-special-operations-ii.cpp
